Time (s),CH1 Voltage (V),CH2 Voltage (V),CH3 Voltage (V),CH4 Voltage (V)
-0.2,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199996,-0.2,0.078,0.078,0.078
-0.199992,-0.2,0.078,0.078,0.078
-0.199988,0.0,0.09,0.09,0.09
-0.19998400000000002,-0.2,0.07,0.07,0.07
-0.19998000000000002,-0.4,0.082,0.082,0.082
-0.19997600000000001,0.0,0.074,0.074,0.074
-0.199972,0.0,0.09,0.09,0.09
-0.199968,0.0,0.082,0.082,0.082
-0.199964,0.0,0.082,0.082,0.082
-0.19996,0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19995600000000002,-0.4,0.074,0.074,0.074
-0.19995200000000002,-0.6000000000000001,0.082,0.082,0.082
-0.19994800000000001,-0.4,0.082,0.082,0.082
-0.199944,0.2,0.078,0.078,0.078
-0.19994,-0.4,0.082,0.082,0.082
-0.199936,-0.2,0.082,0.082,0.082
-0.199932,0.0,0.078,0.078,0.078
-0.19992800000000002,0.0,0.074,0.074,0.074
-0.19992400000000002,0.0,0.074,0.074,0.074
-0.19992000000000001,0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199916,0.0,0.09,0.09,0.09
-0.199912,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199908,-0.4,0.066,0.066,0.066
-0.199904,0.0,0.074,0.074,0.074
-0.19990000000000002,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19989600000000002,-0.2,0.082,0.082,0.082
-0.19989200000000001,0.2,0.078,0.078,0.078
-0.199888,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199884,-0.4,0.078,0.078,0.078
-0.19988,0.2,0.07,0.07,0.07
-0.199876,0.0,0.082,0.082,0.082
-0.19987200000000002,-0.4,0.074,0.074,0.074
-0.19986800000000002,-0.2,0.078,0.078,0.078
-0.199864,0.0,0.078,0.078,0.078
-0.19986,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199856,0.0,0.078,0.078,0.078
-0.199852,0.0,0.09,0.09,0.09
-0.199848,0.2,0.078,0.078,0.078
-0.19984400000000002,-0.2,0.082,0.082,0.082
-0.19984000000000002,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199836,0.2,0.074,0.074,0.074
-0.199832,0.0,0.074,0.074,0.074
-0.199828,-0.8,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199824,0.0,0.082,0.082,0.082
-0.19982,-0.4,0.082,0.082,0.082
-0.19981600000000002,-0.2,0.078,0.078,0.078
-0.19981200000000002,0.0,0.078,0.078,0.078
-0.199808,0.2,0.09,0.09,0.09
-0.199804,0.4,0.082,0.082,0.082
-0.1998,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199796,-0.4,0.074,0.074,0.074
-0.199792,0.0,0.078,0.078,0.078
-0.19978800000000002,-0.2,0.082,0.082,0.082
-0.19978400000000002,0.0,0.074,0.074,0.074
-0.19978,-0.2,0.082,0.082,0.082
-0.199776,0.0,0.074,0.074,0.074
-0.199772,-0.2,0.078,0.078,0.078
-0.199768,0.0,0.082,0.082,0.082
-0.19976400000000002,0.0,0.078,0.078,0.078
-0.19976000000000002,0.0,0.074,0.074,0.074
-0.19975600000000002,-0.2,0.082,0.082,0.082
-0.199752,-0.2,0.066,0.066,0.066
-0.199748,-0.2,0.078,0.078,0.078
-0.199744,0.0,0.074,0.074,0.074
-0.19974,0.0,0.074,0.074,0.074
-0.19973600000000002,0.0,0.082,0.082,0.082
-0.19973200000000002,-0.2,0.082,0.082,0.082
-0.19972800000000002,-0.2,0.082,0.082,0.082
-0.199724,0.0,0.082,0.082,0.082
-0.19972,0.2,0.082,0.082,0.082
-0.199716,0.0,0.082,0.082,0.082
-0.199712,0.4,0.082,0.082,0.082
-0.19970800000000002,-0.2,0.074,0.074,0.074
-0.19970400000000002,-0.4,0.082,0.082,0.082
-0.19970000000000002,-0.2,0.09,0.09,0.09
-0.199696,0.2,0.082,0.082,0.082
-0.199692,0.0,0.07,0.07,0.07
-0.199688,-0.2,0.074,0.074,0.074
-0.199684,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19968000000000002,0.0,0.082,0.082,0.082
-0.19967600000000002,0.0,0.07,0.07,0.07
-0.19967200000000002,-0.2,0.082,0.082,0.082
-0.199668,0.0,0.082,0.082,0.082
-0.199664,0.0,0.082,0.082,0.082
-0.19966,0.0,0.078,0.078,0.078
-0.199656,0.2,0.078,0.078,0.078
-0.19965200000000002,-0.4,0.082,0.082,0.082
-0.19964800000000002,0.4,0.09,0.09,0.09
-0.19964400000000002,0.2,0.082,0.082,0.082
-0.19964,0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199636,0.0,0.07,0.07,0.07
-0.199632,0.2,0.082,0.082,0.082
-0.199628,0.2,0.078,0.078,0.078
-0.19962400000000002,-0.2,0.082,0.082,0.082
-0.19962000000000002,-0.4,0.07,0.07,0.07
-0.19961600000000002,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199612,-0.2,0.082,0.082,0.082
-0.199608,-0.2,0.09,0.09,0.09
-0.199604,-0.2,0.082,0.082,0.082
-0.1996,-0.2,0.082,0.082,0.082
-0.19959600000000002,-0.4,0.066,0.066,0.066
-0.19959200000000002,-0.4,0.074,0.074,0.074
-0.19958800000000002,-0.2,0.082,0.082,0.082
-0.199584,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19958,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199576,0.0,0.082,0.082,0.082
-0.199572,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19956800000000002,0.0,0.082,0.082,0.082
-0.19956400000000002,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19956000000000002,0.0,0.078,0.078,0.078
-0.199556,-0.4,0.082,0.082,0.082
-0.199552,-0.4,0.082,0.082,0.082
-0.199548,-0.2,0.078,0.078,0.078
-0.199544,-0.4,0.078,0.078,0.078
-0.19954000000000002,0.0,0.078,0.078,0.078
-0.19953600000000002,-0.4,0.074,0.074,0.074
-0.19953200000000001,-0.2,0.082,0.082,0.082
-0.199528,-0.2,0.074,0.074,0.074
-0.199524,-0.2,0.082,0.082,0.082
-0.19952,-0.2,0.082,0.082,0.082
-0.199516,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19951200000000002,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19950800000000002,0.2,0.082,0.082,0.082
-0.19950400000000001,0.0,0.082,0.082,0.082
-0.1995,-0.6000000000000001,0.082,0.082,0.082
-0.199496,0.0,0.078,0.078,0.078
-0.199492,-0.2,0.078,0.078,0.078
-0.199488,-0.2,0.078,0.078,0.078
-0.19948400000000002,0.0,0.082,0.082,0.082
-0.19948000000000002,0.0,0.082,0.082,0.082
-0.19947600000000001,-0.4,0.078,0.078,0.078
-0.199472,-0.2,0.082,0.082,0.082
-0.199468,0.2,0.078,0.078,0.078
-0.199464,-0.2,0.078,0.078,0.078
-0.19946,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19945600000000002,0.0,0.082,0.082,0.082
-0.19945200000000002,-0.8,0.07,0.07,0.07
-0.19944800000000001,-0.4,0.082,0.082,0.082
-0.199444,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19944,-0.2,0.078,0.078,0.078
-0.199436,-0.4,0.082,0.082,0.082
-0.199432,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19942800000000002,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19942400000000002,-0.2,0.09,0.09,0.09
-0.19942000000000001,0.0,0.094,0.094,0.094
-0.199416,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199412,-0.2,0.074,0.074,0.074
-0.199408,0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199404,-0.2,0.082,0.082,0.082
-0.19940000000000002,0.0,0.078,0.078,0.078
-0.19939600000000002,0.0,0.07,0.07,0.07
-0.199392,0.2,0.074,0.074,0.074
-0.199388,-0.2,0.082,0.082,0.082
-0.199384,-0.2,0.082,0.082,0.082
-0.19938,-0.6000000000000001,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199376,-0.4,0.082,0.082,0.082
-0.19937200000000002,-0.2,0.078,0.078,0.078
-0.19936800000000002,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199364,-0.4,0.07,0.07,0.07
-0.19936,0.0,0.078,0.078,0.078
-0.199356,0.4,0.082,0.082,0.082
-0.199352,-0.4,0.074,0.074,0.074
-0.199348,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19934400000000002,-0.6000000000000001,0.074,0.074,0.074
-0.19934000000000002,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199336,-0.2,0.09,0.09,0.09
-0.199332,-0.2,0.082,0.082,0.082
-0.199328,0.0,0.094,0.094,0.094
-0.199324,-0.2,0.07,0.07,0.07
-0.19932000000000002,0.0,0.082,0.082,0.082
-0.19931600000000002,-0.4,0.082,0.082,0.082
-0.19931200000000002,0.0,0.082,0.082,0.082
-0.199308,0.0,0.074,0.074,0.074
-0.199304,0.2,0.082,0.082,0.082
-0.1993,-0.2,0.078,0.078,0.078
-0.199296,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19929200000000002,0.2,0.082,0.082,0.082
-0.19928800000000002,-0.4,0.078,0.078,0.078
-0.19928400000000002,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19928,-0.4,0.078,0.078,0.078
-0.199276,0.2,0.074,0.074,0.074
-0.199272,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199268,0.2,0.082,0.082,0.082
-0.19926400000000002,0.4,0.082,0.082,0.082
-0.19926000000000002,-0.2,0.078,0.078,0.078
-0.19925600000000002,0.4,0.082,0.082,0.082
-0.199252,0.2,0.07,0.07,0.07
-0.199248,-0.2,0.082,0.082,0.082
-0.199244,-0.2,0.078,0.078,0.078
-0.19924,0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19923600000000002,-0.4,0.09,0.09,0.09
-0.19923200000000002,0.0,0.082,0.082,0.082
-0.19922800000000002,-0.2,0.078,0.078,0.078
-0.199224,-0.2,0.082,0.082,0.082
-0.19922,-0.4,0.078,0.078,0.078
-0.199216,-0.4,0.082,0.082,0.082
-0.199212,-0.2,0.074,0.074,0.074
-0.19920800000000002,-0.4,0.066,0.066,0.066
-0.19920400000000002,-0.4,0.082,0.082,0.082
-0.19920000000000002,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199196,-0.2,0.082,0.082,0.082
-0.199192,0.0,0.082,0.082,0.082
-0.199188,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.199184,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.19918000000000002,0.0,0.07,0.07,0.07
-0.19917600000000002,-0.2,0.082,0.082,0.082
