Time (s),Voltage (V)
-0.05,0.04
-0.049960000000000004,0.04
-0.049920000000000006,0.04
-0.04988,0.04
-0.04984,0.04
-0.049800000000000004,0.04
-0.049760000000000006,0.04
-0.04972,0.04
-0.04968,0.04
-0.049640000000000004,0.04
-0.049600000000000005,0.04
-0.04956,0.04
-0.04952,0.04
-0.04948,0.06
-0.049440000000000005,0.04
-0.0494,0.04
-0.04936,0.04
-0.04932,0.04
-0.049280000000000004,0.04
-0.049240000000000006,0.04
-0.0492,0.04
-0.04916,0.02
-0.049120000000000004,0.04
-0.049080000000000006,0.04
-0.04904,0.04
-0.049,0.04
-0.048960000000000004,0.04
-0.048920000000000005,0.04
-0.04888,0.04
-0.04884,0.06
-0.0488,0.02
-0.048760000000000005,0.04
-0.04872,0.04
-0.04868,0.06
-0.04864,0.04
-0.048600000000000004,0.04
-0.048560000000000006,0.04
-0.04852,0.04
-0.04848,0.06
-0.048440000000000004,0.04
-0.048400000000000006,0.04
-0.04836,0.04
-0.04832,0.04
-0.04828,0.04
-0.048240000000000005,0.06
-0.0482,0.04
-0.04816,0.04
-0.04812,0.06
-0.048080000000000005,0.04
-0.04804,0.04
-0.048,0.04
-0.04796,0.04
-0.047920000000000004,0.04
-0.047880000000000006,0.04
-0.04784,0.04
-0.0478,0.02
-0.047760000000000004,0.04
-0.047720000000000005,0.04
-0.04768,0.04
-0.04764,0.04
-0.0476,0.04
-0.047560000000000005,0.04
-0.04752,0.06
-0.04748,0.04
-0.04744,0.04
-0.047400000000000005,0.04
-0.04736,0.04
-0.04732,0.04
-0.04728,0.04
-0.047240000000000004,0.04
-0.047200000000000006,0.04
-0.04716,0.04
-0.04712,0.04
-0.047080000000000004,0.02
-0.047040000000000005,0.04
-0.047,0.02
-0.04696,0.04
-0.04692,0.04
-0.046880000000000005,0.04
-0.04684,0.04
-0.0468,0.04
-0.04676,0.04
-0.046720000000000005,0.04
-0.04668,0.06
-0.04664,0.04
-0.0466,0.04
-0.046560000000000004,0.04
-0.046520000000000006,0.04
-0.04648,0.06
-0.04644,0.04
-0.046400000000000004,0.04
-0.046360000000000005,0.04
-0.04632,0.04
-0.04628,0.04
-0.04624,0.04
-0.046200000000000005,0.04
-0.04616,0.02
-0.04612,0.04
-0.04608,0.04
-0.046040000000000005,0.04
-0.046,0.04
-0.04596,0.04
-0.04592,0.04
-0.045880000000000004,0.04
-0.045840000000000006,0.04
-0.0458,0.04
-0.04576,0.04
-0.045720000000000004,0.02
-0.045680000000000005,0.06
-0.04564,0.04
-0.0456,0.04
-0.04556,0.04
-0.045520000000000005,0.04
-0.04548,0.02
-0.04544,0.06
-0.0454,0.04
-0.045360000000000004,0.04
-0.04532,0.04
-0.04528,0.06
-0.04524,0.04
-0.045200000000000004,0.04
-0.045160000000000006,0.06
-0.04512,0.04
-0.04508,0.04
-0.045040000000000004,0.04
-0.045000000000000005,0.04
-0.04496,0.04
-0.04492,0.04
-0.04488,0.04
-0.044840000000000005,0.04
-0.0448,0.04
-0.04476,0.02
-0.04472,0.04
-0.044680000000000004,0.04
-0.04464,0.04
-0.0446,0.04
-0.04456,0.04
-0.044520000000000004,0.04
-0.044480000000000006,0.02
-0.04444,0.04
-0.0444,0.04
-0.044360000000000004,0.04
-0.044320000000000005,0.02
-0.04428,0.02
-0.04424,0.04
-0.0442,0.04
-0.044160000000000005,0.04
-0.04412,0.04
-0.04408,0.04
-0.04404,0.04
-0.044000000000000004,0.04
-0.04396,0.04
-0.04392,0.04
-0.04388,0.04
-0.043840000000000004,0.04
-0.043800000000000006,0.04
