Time (s),CH1_Voltage (V),CH2_Voltage (V),CH3_Voltage (V),CH4_Voltage (V)
-0.25,0.8200000000000001,4.0,0.0,4.0
-0.2498,0.8200000000000001,2.0,2.0,4.0
-0.2496,0.8200000000000001,4.0,0.0,4.0
-0.2494,0.8200000000000001,2.0,2.0,4.0
-0.2492,0.8200000000000001,2.0,2.0,4.0
-0.249,0.8200000000000001,4.0,2.0,4.0
-0.2488,0.8200000000000001,4.0,2.0,4.0
-0.2486,0.8200000000000001,4.0,2.0,4.0
-0.2484,0.8200000000000001,2.0,2.0,4.0
-0.2482,0.8,4.0,2.0,4.0
-0.248,0.8200000000000001,2.0,2.0,4.0
-0.2478,0.8200000000000001,4.0,2.0,4.0
-0.2476,0.8200000000000001,4.0,2.0,6.0
-0.2474,0.8200000000000001,4.0,2.0,4.0
-0.2472,0.8200000000000001,4.0,2.0,6.0
-0.247,0.8200000000000001,2.0,2.0,6.0
-0.2468,0.8200000000000001,4.0,2.0,4.0
-0.24659999999999999,0.8200000000000001,4.0,2.0,6.0
-0.2464,0.84,2.0,2.0,4.0
-0.2462,0.84,4.0,2.0,4.0
-0.246,0.8200000000000001,4.0,0.0,4.0
-0.2458,0.8200000000000001,4.0,2.0,4.0
-0.2456,0.8200000000000001,2.0,2.0,4.0
-0.2454,0.8200000000000001,4.0,2.0,6.0
-0.2452,0.8200000000000001,4.0,2.0,4.0
-0.245,0.8,2.0,2.0,4.0
-0.2448,0.8200000000000001,4.0,2.0,4.0
-0.2446,0.8200000000000001,2.0,0.0,4.0
-0.2444,0.8200000000000001,4.0,2.0,4.0
-0.2442,0.8200000000000001,4.0,2.0,4.0
-0.244,0.8200000000000001,4.0,2.0,6.0
-0.2438,0.8200000000000001,2.0,0.0,6.0
-0.2436,0.8200000000000001,2.0,2.0,4.0
-0.2434,0.8200000000000001,4.0,2.0,4.0
-0.2432,0.8200000000000001,4.0,2.0,4.0
-0.243,0.8200000000000001,2.0,2.0,4.0
-0.2428,0.8200000000000001,2.0,2.0,6.0
-0.2426,0.8200000000000001,4.0,2.0,4.0
-0.2424,0.8200000000000001,4.0,2.0,4.0
-0.2422,0.8200000000000001,4.0,2.0,4.0
-0.242,0.8200000000000001,4.0,2.0,4.0
-0.2418,0.8200000000000001,4.0,2.0,4.0
-0.2416,0.8200000000000001,4.0,2.0,4.0
-0.2414,0.8200000000000001,4.0,2.0,4.0
-0.2412,0.8200000000000001,4.0,0.0,6.0
-0.241,0.84,2.0,2.0,4.0
-0.24080000000000001,0.8200000000000001,2.0,2.0,4.0
-0.2406,0.8200000000000001,2.0,0.0,4.0
-0.2404,0.8200000000000001,4.0,2.0,4.0
-0.2402,0.84,4.0,2.0,4.0
-0.24,0.8200000000000001,4.0,2.0,4.0
-0.2398,0.8200000000000001,2.0,0.0,6.0
-0.2396,0.8200000000000001,4.0,2.0,4.0
-0.2394,0.8200000000000001,4.0,0.0,6.0
-0.2392,0.8200000000000001,4.0,0.0,4.0
-0.239,0.8,4.0,2.0,4.0
-0.2388,0.84,2.0,0.0,4.0
-0.2386,0.8200000000000001,4.0,2.0,6.0
