Time (s),CH1_Voltage (V),CH2_Voltage (V)
-0.0125,3.44,0.114
-0.012490000000000001,3.52,0.114
-0.012480000000000002,3.44,0.114
-0.01247,3.52,0.114
-0.01246,3.52,0.114
-0.012450000000000001,3.52,0.112
-0.012440000000000001,3.52,0.112
-0.01243,3.52,0.114
-0.01242,3.44,0.114
-0.012410000000000001,3.44,0.114
-0.012400000000000001,3.44,0.114
-0.01239,3.52,0.114
-0.01238,3.44,0.114
-0.01237,3.44,0.112
-0.012360000000000001,3.52,0.114
-0.01235,3.52,0.114
-0.01234,3.44,0.114
-0.01233,3.44,0.114
-0.012320000000000001,3.52,0.114
-0.012310000000000001,3.44,0.116
-0.0123,3.44,0.114
-0.01229,3.44,0.114
-0.012280000000000001,3.52,0.114
-0.012270000000000001,3.44,0.116
-0.01226,3.44,0.114
-0.01225,3.44,0.114
-0.012240000000000001,3.52,0.114
-0.012230000000000001,3.44,0.116
-0.01222,3.44,0.114
-0.01221,3.44,0.116
-0.0122,3.44,0.116
-0.012190000000000001,3.44,0.116
-0.01218,3.52,0.116
-0.01217,3.52,0.114
-0.01216,3.44,0.114
-0.012150000000000001,3.52,0.114
-0.012140000000000001,3.52,0.114
-0.01213,3.52,0.114
-0.01212,3.52,0.112
-0.012110000000000001,3.52,0.114
-0.012100000000000001,3.52,0.114
-0.01209,3.44,0.114
-0.01208,3.44,0.114
-0.01207,3.52,0.112
-0.012060000000000001,3.44,0.112
-0.01205,3.44,0.114
-0.01204,3.44,0.112
-0.01203,3.52,0.114
-0.012020000000000001,3.44,0.114
-0.01201,3.44,0.114
-0.012,3.44,0.114
-0.01199,3.52,0.112
-0.011980000000000001,3.52,0.114
-0.011970000000000001,3.44,0.114
-0.01196,3.44,0.114
-0.01195,3.52,0.114
-0.011940000000000001,3.44,0.114
-0.011930000000000001,3.44,0.116
-0.01192,3.52,0.114
-0.01191,3.52,0.114
-0.0119,3.52,0.114
-0.011890000000000001,3.44,0.116
-0.01188,3.44,0.114
-0.01187,3.44,0.114
-0.01186,3.44,0.116
-0.011850000000000001,3.44,0.114
-0.01184,3.44,0.114
-0.01183,3.44,0.114
-0.01182,3.44,0.114
-0.011810000000000001,3.44,0.114
-0.011800000000000001,3.52,0.114
-0.01179,3.52,0.116
-0.01178,3.52,0.114
-0.011770000000000001,3.52,0.116
-0.011760000000000001,3.44,0.114
-0.01175,3.44,0.114
-0.01174,3.44,0.114
-0.01173,3.52,0.114
-0.011720000000000001,3.44,0.116
-0.01171,3.52,0.114
-0.0117,3.44,0.112
-0.01169,3.52,0.114
-0.011680000000000001,3.52,0.114
-0.01167,3.52,0.114
-0.01166,3.44,0.114
-0.01165,3.52,0.114
-0.011640000000000001,3.44,0.114
-0.011630000000000001,3.44,0.114
-0.01162,3.44,0.114
-0.01161,3.44,0.114
-0.011600000000000001,3.44,0.114
-0.011590000000000001,3.44,0.114
-0.01158,3.52,0.116
-0.01157,3.44,0.114
-0.01156,3.52,0.114
-0.011550000000000001,3.44,0.114
-0.01154,3.44,0.114
-0.01153,3.44,0.116
-0.01152,3.44,0.114
-0.011510000000000001,3.52,0.114
-0.0115,3.52,0.116
-0.01149,3.52,0.114
-0.01148,3.52,0.114
-0.011470000000000001,3.44,0.114
-0.011460000000000001,3.44,0.114
-0.01145,3.44,0.114
-0.01144,3.44,0.114
-0.011430000000000001,3.44,0.112
-0.011420000000000001,3.44,0.114
-0.01141,3.44,0.114
-0.0114,3.44,0.114
-0.01139,3.52,0.114
-0.011380000000000001,3.44,0.112
-0.01137,3.44,0.112
-0.01136,3.52,0.114
-0.01135,3.44,0.114
-0.011340000000000001,3.52,0.114
-0.01133,3.52,0.114
-0.01132,3.44,0.114
-0.01131,3.44,0.114
-0.011300000000000001,0.16,0.116
-0.011290000000000001,0.16,0.114
-0.01128,0.16,0.112
-0.01127,0.16,0.116
-0.011260000000000001,0.16,0.114
-0.011250000000000001,0.08,0.114
-0.01124,0.08,0.116
-0.01123,0.08,0.114
