Time (s),CH1_Voltage (V),CH2_Voltage (V),CH3_Voltage (V),CH4_Voltage (V)
-0.1254,2.0,32.0,0.0,2.0
-0.12530000000000002,0.0,34.0,0.0,2.0
-0.1252,0.0,32.0,0.0,2.0
-0.12510000000000002,0.0,32.0,0.0,2.0
-0.125,0.0,34.0,0.0,2.0
-0.12490000000000001,2.0,32.0,0.0,2.0
-0.12480000000000001,0.0,34.0,0.0,2.0
-0.1247,0.0,34.0,0.0,2.0
-0.12460000000000002,0.0,32.0,0.0,2.0
-0.12450000000000001,2.0,32.0,0.0,2.0
-0.12440000000000001,0.0,32.0,0.0,2.0
-0.12430000000000001,0.0,34.0,0.0,2.0
-0.1242,0.0,32.0,0.0,2.0
-0.12410000000000002,2.0,34.0,0.0,2.0
-0.12400000000000001,2.0,32.0,0.0,2.0
-0.12390000000000001,0.0,32.0,0.0,2.0
-0.12380000000000001,0.0,32.0,0.0,2.0
-0.1237,0.0,32.0,0.0,2.0
-0.12360000000000002,2.0,32.0,0.0,2.0
-0.12350000000000001,2.0,32.0,0.0,2.0
-0.12340000000000001,0.0,32.0,0.0,2.0
-0.1233,2.0,32.0,0.0,2.0
-0.12320000000000002,0.0,34.0,0.0,2.0
-0.12310000000000001,0.0,32.0,0.0,2.0
-0.12300000000000001,0.0,32.0,0.0,2.0
-0.12290000000000001,2.0,32.0,0.0,2.0
-0.1228,0.0,32.0,0.0,2.0
-0.12270000000000002,0.0,34.0,0.0,2.0
-0.12260000000000001,2.0,32.0,0.0,2.0
-0.12250000000000001,0.0,32.0,0.0,2.0
-0.12240000000000001,2.0,34.0,0.0,2.0
-0.1223,0.0,32.0,0.0,2.0
-0.12220000000000002,0.0,32.0,0.0,2.0
-0.12210000000000001,0.0,32.0,0.0,2.0
-0.12200000000000001,2.0,32.0,0.0,2.0
-0.12190000000000001,0.0,32.0,0.0,2.0
-0.1218,0.0,32.0,0.0,2.0
-0.12170000000000002,0.0,32.0,0.0,2.0
-0.12160000000000001,2.0,34.0,0.0,2.0
-0.12150000000000001,0.0,32.0,0.0,2.0
-0.12140000000000001,0.0,34.0,0.0,2.0
-0.1213,2.0,34.0,0.0,2.0
-0.12120000000000002,2.0,32.0,0.0,2.0
-0.12110000000000001,0.0,32.0,0.0,2.0
-0.12100000000000001,2.0,32.0,0.0,2.0
-0.12090000000000001,2.0,34.0,0.0,2.0
-0.12080000000000002,2.0,32.0,0.0,2.0
-0.12070000000000002,0.0,32.0,0.0,2.0
-0.12060000000000001,2.0,32.0,0.0,2.0
-0.12050000000000001,0.0,32.0,0.0,2.0
-0.12040000000000001,0.0,32.0,0.0,2.0
-0.12030000000000002,0.0,32.0,0.0,2.0
-0.12020000000000002,0.0,32.0,0.0,2.0
-0.12010000000000001,0.0,34.0,0.0,0.0
-0.12000000000000001,2.0,32.0,0.0,2.0
-0.1199,2.0,32.0,0.0,0.0
-0.11980000000000002,0.0,32.0,0.0,2.0
-0.11970000000000001,0.0,32.0,0.0,2.0
-0.11960000000000001,2.0,32.0,0.0,2.0
-0.11950000000000001,0.0,32.0,0.0,2.0
-0.1194,0.0,32.0,0.0,2.0
-0.11930000000000002,2.0,32.0,0.0,0.0
-0.11920000000000001,2.0,34.0,0.0,2.0
-0.11910000000000001,0.0,34.0,0.0,2.0
-0.11900000000000001,0.0,32.0,0.0,2.0
-0.1189,0.0,32.0,0.0,2.0
-0.11880000000000002,2.0,0.0,0.0,2.0
-0.11870000000000001,0.0,0.0,0.0,2.0
-0.11860000000000001,0.0,0.0,0.0,2.0
-0.11850000000000001,0.0,0.0,0.0,2.0
-0.1184,0.0,0.0,0.0,0.0
-0.11830000000000002,0.0,0.0,0.0,2.0
-0.11820000000000001,34.0,0.0,0.0,2.0
-0.11810000000000001,34.0,0.0,0.0,2.0
-0.11800000000000001,34.0,0.0,0.0,2.0
-0.1179,34.0,0.0,0.0,2.0
-0.11780000000000002,34.0,0.0,0.0,2.0
-0.11770000000000001,34.0,0.0,0.0,2.0
-0.11760000000000001,34.0,0.0,0.0,0.0
-0.11750000000000001,34.0,0.0,0.0,2.0
-0.1174,34.0,0.0,0.0,2.0
-0.11730000000000002,34.0,0.0,0.0,2.0
-0.11720000000000001,34.0,0.0,0.0,2.0
-0.11710000000000001,34.0,0.0,0.0,0.0
-0.117,34.0,0.0,0.0,2.0
-0.1169,34.0,0.0,0.0,2.0
-0.11680000000000001,34.0,0.0,0.0,2.0
