Time (s),Voltage (V)
-0.0129,0.0
-0.01289,0.08
-0.01288,0.0
-0.01287,0.08
-0.01286,0.0
-0.01285,0.0
-0.01284,0.08
-0.01283,0.08
-0.01282,0.0
-0.01281,0.0
-0.0128,0.0
-0.01279,0.0
-0.01278,0.08
-0.01277,0.0
-0.01276,0.0
-0.01275,0.0
-0.01274,0.08
-0.01273,0.0
-0.01272,0.08
-0.01271,0.0
-0.0127,0.08
-0.01269,0.08
-0.01268,0.08
-0.01267,0.08
-0.01266,0.0
-0.01265,0.08
-0.01264,0.0
-0.01263,0.0
-0.01262,0.08
-0.01261,0.08
-0.0126,0.08
-0.01259,0.0
-0.01258,0.08
-0.01257,0.0
-0.01256,0.0
-0.01255,0.08
-0.01254,0.08
-0.01253,0.08
-0.01252,0.08
-0.01251,0.0
-0.0125,0.0
-0.01249,0.08
-0.01248,0.08
-0.01247,0.08
-0.01246,0.0
-0.01245,0.08
-0.01244,0.08
-0.01243,0.08
-0.01242,0.0
-0.01241,0.0
-0.0124,3.36
-0.01239,3.36
-0.01238,3.36
-0.012369999999999999,3.36
-0.01236,3.44
-0.01235,3.36
-0.01234,3.44
-0.01233,3.36
-0.01232,3.36
-0.01231,3.44
-0.0123,3.36
-0.01229,3.36
-0.01228,3.44
-0.01227,3.36
-0.01226,3.36
-0.01225,3.44
-0.01224,3.44
-0.01223,3.44
-0.01222,3.44
-0.01221,3.44
-0.012199999999999999,3.36
-0.01219,3.36
-0.01218,3.36
-0.01217,3.44
-0.01216,3.36
-0.01215,3.36
-0.01214,3.36
-0.01213,3.36
-0.01212,3.44
-0.01211,3.36
-0.0121,3.36
-0.01209,3.36
-0.01208,3.36
-0.012069999999999999,3.44
-0.01206,3.44
-0.01205,3.36
-0.01204,3.44
-0.012029999999999999,3.36
-0.01202,3.36
-0.01201,3.36
-0.012,3.36
-0.01199,3.36
-0.01198,3.36
-0.01197,3.36
-0.01196,3.36
-0.01195,3.36
-0.01194,3.44
-0.01193,3.44
-0.01192,3.44
-0.01191,3.44
-0.0119,3.44
-0.01189,3.36
-0.01188,3.36
-0.01187,3.36
-0.011859999999999999,3.44
-0.01185,3.36
-0.01184,3.36
-0.01183,3.36
-0.01182,3.44
-0.01181,3.36
-0.0118,3.36
-0.01179,3.44
-0.01178,3.44
-0.01177,3.44
-0.01176,3.36
-0.01175,0.08
-0.01174,0.0
-0.01173,0.08
-0.01172,0.0
-0.01171,0.0
-0.0117,0.08
-0.011689999999999999,0.0
-0.01168,0.0
-0.01167,0.0
-0.01166,0.0
-0.01165,0.0
-0.01164,0.0
-0.01163,0.0
-0.01162,0.0
-0.01161,0.08
-0.0116,0.0
-0.01159,0.0
-0.01158,0.08
-0.01157,0.08
-0.01156,0.0
-0.01155,0.0
-0.01154,0.08
-0.01153,0.0
-0.011519999999999999,0.0
-0.01151,0.0
-0.0115,0.0
-0.01149,0.08
-0.01148,0.08
-0.01147,0.08
-0.01146,0.08
-0.01145,0.08
-0.01144,0.0
-0.01143,0.0
-0.01142,0.0
-0.01141,0.0
-0.0114,0.08
-0.01139,0.08
-0.01138,0.0
-0.01137,0.0
-0.01136,0.0
-0.011349999999999999,0.08
-0.01134,0.0
-0.01133,0.0
-0.01132,0.08
-0.01131,0.08
-0.0113,0.08
-0.01129,0.0
-0.01128,0.0
-0.01127,0.08
-0.01126,0.0
-0.01125,0.0
-0.01124,0.0
-0.01123,0.08
-0.01122,0.08
-0.01121,0.08
-0.0112,0.08
-0.01119,0.08
-0.011179999999999999,0.08
-0.01117,0.0
-0.01116,0.08
-0.01115,0.08
-0.01114,0.0
-0.01113,0.08
-0.01112,0.08
-0.01111,0.08
-0.0111,0.0
-0.01109,0.0
-0.01108,0.08
-0.01107,0.08
-0.01106,3.36
-0.01105,3.36
-0.01104,3.36
-0.01103,3.36
-0.01102,3.36
-0.011009999999999999,3.44
-0.011,3.44
-0.01099,3.36
-0.01098,3.44
-0.01097,3.36
-0.01096,3.36
-0.01095,3.36
-0.01094,3.44
-0.01093,3.36
-0.01092,3.36
-0.01091,3.36
-0.0109,3.36
-0.01089,3.44
-0.01088,3.36
-0.01087,3.36
-0.01086,3.36
-0.01085,3.36
-0.010839999999999999,3.36
-0.01083,3.36
-0.01082,3.36
-0.01081,3.36
-0.0108,3.36
-0.01079,3.44
-0.01078,3.36
-0.01077,3.44
-0.01076,3.36
-0.01075,3.36
-0.01074,3.36
-0.01073,3.36
-0.01072,3.36
-0.01071,3.36
-0.0107,3.44
-0.01069,3.36
-0.01068,3.36
-0.010669999999999999,3.36
-0.01066,3.44
-0.01065,3.44
-0.01064,3.36
-0.01063,3.36
-0.01062,3.44
-0.01061,3.44
-0.0106,3.44
-0.01059,3.36
-0.010579999999999999,3.36
-0.01057,3.44
-0.01056,3.36
-0.01055,3.36
-0.01054,3.36
-0.01053,3.36
-0.01052,3.44
-0.01051,3.36
-0.010499999999999999,3.36
-0.01049,3.44
-0.01048,0.08
-0.01047,0.0
-0.01046,0.08
-0.01045,0.0
-0.01044,0.08
-0.01043,0.0
-0.01042,0.0
-0.010409999999999999,0.0
-0.0104,0.0
-0.01039,0.08
-0.01038,0.0
-0.01037,0.0
-0.01036,0.08
-0.01035,0.08
-0.01034,0.0
-0.010329999999999999,0.0
-0.01032,0.08
-0.01031,0.0
-0.0103,0.0
-0.01029,0.0
-0.01028,0.08
-0.01027,0.08
-0.01026,0.0
-0.01025,0.0
-0.010239999999999999,0.08
-0.01023,0.0
-0.01022,0.0
-0.01021,0.08
-0.0102,0.0
-0.01019,0.0
-0.01018,0.0
-0.01017,0.0
