Time (s),CH1_Voltage (V),CH2_Voltage (V),CH3_Voltage (V),CH4_Voltage (V)
-0.0225,50.0,0.0,0.0,2.0
-0.02249,50.0,0.0,0.0,2.0
-0.02248,48.0,0.0,0.0,2.0
-0.02247,48.0,0.0,0.0,2.0
-0.02246,50.0,0.0,0.0,2.0
-0.022449999999999998,50.0,0.0,0.0,2.0
-0.022439999999999998,50.0,0.0,0.0,2.0
-0.02243,50.0,0.0,0.0,2.0
-0.02242,50.0,0.0,0.0,2.0
-0.02241,50.0,0.0,0.0,0.0
-0.0224,50.0,0.0,0.0,2.0
-0.02239,50.0,0.0,0.0,2.0
-0.02238,50.0,0.0,0.0,2.0
-0.022369999999999998,48.0,0.0,0.0,2.0
-0.022359999999999998,50.0,0.0,0.0,2.0
-0.02235,50.0,0.0,0.0,2.0
-0.02234,50.0,0.0,0.0,2.0
-0.02233,50.0,0.0,0.0,2.0
-0.02232,50.0,0.0,0.0,2.0
-0.02231,50.0,0.0,0.0,2.0
-0.0223,50.0,0.0,0.0,2.0
-0.02229,50.0,0.0,0.0,2.0
-0.022279999999999998,50.0,0.0,2.0,2.0
-0.022269999999999998,50.0,0.0,0.0,2.0
-0.02226,50.0,-2.0,0.0,2.0
-0.02225,48.0,0.0,0.0,2.0
-0.02224,50.0,0.0,0.0,2.0
-0.02223,50.0,0.0,0.0,2.0
-0.02222,48.0,0.0,0.0,2.0
-0.02221,50.0,0.0,0.0,2.0
-0.022199999999999998,50.0,0.0,0.0,2.0
-0.022189999999999998,50.0,0.0,0.0,2.0
-0.02218,48.0,0.0,0.0,2.0
-0.02217,50.0,0.0,0.0,2.0
-0.02216,50.0,0.0,0.0,2.0
-0.02215,50.0,0.0,0.0,2.0
-0.02214,50.0,0.0,0.0,2.0
-0.02213,50.0,0.0,0.0,2.0
-0.02212,50.0,0.0,0.0,2.0
-0.022109999999999998,50.0,-2.0,0.0,2.0
-0.022099999999999998,50.0,0.0,0.0,2.0
-0.02209,50.0,0.0,0.0,2.0
-0.02208,50.0,0.0,0.0,2.0
-0.02207,50.0,0.0,0.0,2.0
-0.02206,50.0,0.0,0.0,2.0
-0.02205,48.0,0.0,0.0,2.0
-0.02204,50.0,0.0,0.0,2.0
-0.022029999999999998,50.0,0.0,0.0,0.0
-0.022019999999999998,50.0,-2.0,0.0,2.0
-0.02201,50.0,0.0,0.0,2.0
-0.022,50.0,0.0,0.0,2.0
-0.02199,50.0,0.0,0.0,0.0
-0.02198,50.0,0.0,0.0,2.0
-0.02197,50.0,0.0,0.0,2.0
-0.02196,48.0,0.0,0.0,2.0
-0.02195,50.0,0.0,0.0,2.0
-0.021939999999999998,50.0,0.0,0.0,2.0
-0.021929999999999998,50.0,0.0,2.0,2.0
-0.02192,50.0,0.0,0.0,2.0
-0.02191,50.0,0.0,0.0,2.0
-0.0219,50.0,0.0,0.0,2.0
-0.02189,50.0,0.0,0.0,2.0
-0.02188,50.0,0.0,0.0,2.0
-0.02187,50.0,0.0,2.0,2.0
-0.021859999999999997,50.0,0.0,0.0,2.0
-0.021849999999999998,50.0,0.0,0.0,2.0
-0.02184,50.0,0.0,0.0,2.0
-0.02183,50.0,0.0,0.0,2.0
-0.02182,50.0,0.0,0.0,2.0
-0.02181,50.0,0.0,0.0,2.0
-0.0218,50.0,0.0,2.0,2.0
-0.02179,50.0,0.0,0.0,2.0
-0.02178,48.0,0.0,0.0,2.0
-0.021769999999999998,50.0,0.0,0.0,2.0
-0.021759999999999998,50.0,0.0,0.0,2.0
-0.02175,50.0,0.0,0.0,2.0
-0.02174,50.0,0.0,0.0,2.0
-0.02173,50.0,0.0,0.0,2.0
-0.02172,50.0,0.0,0.0,2.0
-0.02171,50.0,0.0,0.0,2.0
-0.0217,50.0,0.0,0.0,2.0
-0.021689999999999997,50.0,0.0,0.0,2.0
-0.021679999999999998,50.0,0.0,0.0,2.0
-0.02167,50.0,0.0,0.0,2.0
-0.02166,0.0,0.0,0.0,0.0
-0.02165,0.0,0.0,0.0,2.0
-0.02164,0.0,0.0,0.0,2.0
-0.02163,0.0,0.0,0.0,2.0
-0.02162,0.0,0.0,0.0,2.0
-0.02161,0.0,0.0,0.0,2.0
-0.021599999999999998,0.0,0.0,0.0,2.0
-0.021589999999999998,0.0,0.0,2.0,2.0
-0.02158,0.0,0.0,0.0,2.0
-0.02157,0.0,0.0,0.0,2.0
-0.02156,2.0,0.0,0.0,2.0
-0.02155,0.0,0.0,0.0,2.0
-0.02154,0.0,0.0,0.0,2.0
-0.02153,2.0,0.0,0.0,2.0
-0.021519999999999997,0.0,-2.0,0.0,2.0
-0.021509999999999998,0.0,0.0,0.0,2.0
-0.0215,0.0,0.0,0.0,2.0
-0.02149,0.0,0.0,0.0,2.0
-0.02148,0.0,0.0,0.0,2.0
-0.02147,0.0,0.0,0.0,2.0
-0.02146,0.0,0.0,0.0,2.0
-0.02145,0.0,0.0,0.0,2.0
-0.02144,0.0,0.0,0.0,2.0
-0.021429999999999998,0.0,0.0,0.0,2.0
-0.021419999999999998,0.0,0.0,0.0,2.0
-0.02141,0.0,0.0,0.0,2.0
-0.0214,0.0,0.0,0.0,2.0
-0.02139,0.0,0.0,0.0,2.0
-0.02138,0.0,0.0,0.0,2.0
-0.02137,0.0,0.0,0.0,2.0
-0.02136,0.0,0.0,0.0,2.0
-0.021349999999999997,0.0,0.0,0.0,2.0
-0.021339999999999998,0.0,0.0,0.0,2.0
-0.02133,0.0,0.0,0.0,2.0
-0.02132,0.0,0.0,0.0,2.0
-0.02131,0.0,0.0,0.0,2.0
-0.0213,0.0,0.0,2.0,2.0
-0.02129,0.0,0.0,2.0,2.0
-0.02128,0.0,0.0,0.0,2.0
-0.021269999999999997,0.0,0.0,0.0,2.0
-0.021259999999999998,0.0,0.0,2.0,2.0
-0.021249999999999998,0.0,0.0,0.0,0.0
-0.02124,2.0,0.0,0.0,2.0
